ID(String),carat(Float),logcarat(Float),cut(String),color(String),clarity(String),depth(Float),table(Integer),price(Integer),logprice(Float),x(Float),y(Float),z(Float),volume(Float)
12940,1.09,0.09,Premium,F,SI1,62.7,58,5384,8.59,6.56,6.51,4.1,175.09296
12960,1.16,0.15,Ideal,H,SI2,60.9,59,5388,8.59,6.72,6.78,4.11,187.258176
12980,1.25,0.22,Ideal,I,SI2,61.4,55,5395,8.59,6.92,6.99,4.27,206.543316
13000,1.09,0.09,Premium,G,SI1,60.2,60,5402,8.59,6.7,6.66,4.02,179.38044
13020,1.11,0.1,Ideal,G,SI1,61.9,57,5408,8.6,6.63,6.66,4.11,181.480338
13040,0.36,-1.02,Ideal,F,SI1,61.5,56,600,6.4,4.59,4.62,2.83,60.012414
13060,0.91,-0.09,Ideal,H,VVS2,61.7,57,5411,8.6,6.21,6.23,3.84,148.563072
13080,1.01,0.01,Very Good,E,SI1,62.8,59,5416,8.6,6.41,6.45,4.04,167.03178
13100,1.01,0.01,Very Good,D,SI1,60.7,58,5422,8.6,6.49,6.45,3.93,164.511765
13120,1.01,0.01,Ideal,G,SI1,63.1,53,5430,8.6,6.36,6.42,4.03,164.549736
13140,1.07,0.07,Premium,F,SI1,62.5,59,5436,8.6,6.57,6.52,4.09,175.200876
13160,1.01,0.01,Good,D,SI1,63.1,60,5443,8.6,6.32,6.39,4.01,161.943048
13180,1.11,0.1,Very Good,H,VS2,62.4,58,5450,8.6,6.57,6.69,4.14,181.966662
13200,1.02,0.02,Premium,F,SI1,61,59,5455,8.6,6.58,6.47,3.98,169.438948
13220,1.14,0.13,Very Good,H,SI1,63.1,58,5458,8.6,6.69,6.6,4.19,185.00526
13240,1.02,0.02,Premium,H,VS1,62.1,59,5469,8.61,6.38,6.43,3.98,163.273132
13260,1.16,0.15,Premium,H,SI1,60.2,59,5480,8.61,6.84,6.77,4.1,189.85788
13280,1.14,0.13,Good,H,SI1,62.8,58,5487,8.61,6.62,6.67,4.17,184.128018
13300,1.05,0.05,Good,H,VS2,63.7,58,5492,8.61,6.4,6.45,4.09,168.8352
13320,1.01,0.01,Very Good,E,SI1,62.9,58,5499,8.61,6.35,6.41,4.01,163.221035
13340,1.19,0.17,Ideal,D,SI2,60.4,55,5504,8.61,6.91,6.89,4.17,198.533283
13360,0.24,-1.43,Very Good,F,VS2,61.4,58,419,6.04,3.99,4.05,2.47,39.913965
13380,0.32,-1.14,Ideal,H,SI2,61.9,54,420,6.04,4.42,4.46,2.75,54.2113
13400,0.32,-1.14,Very Good,F,VS2,63,57,602,6.4,4.33,4.37,2.74,51.846554
13420,1.23,0.21,Premium,J,VS1,62.7,58,5510,8.61,6.82,6.79,4.27,197.734306
13440,1.46,0.38,Premium,I,SI2,62.4,59,5519,8.62,7.21,7.16,4.49,231.789964
13460,1.13,0.12,Very Good,G,SI1,63.1,58,5526,8.62,6.65,6.59,4.18,183.18223
13480,1.01,0.01,Ideal,E,SI1,62,56,5534,8.62,6.41,6.47,3.99,165.476073
13500,0.7,-0.36,Ideal,D,VVS2,61.1,55,5539,8.62,5.75,5.78,3.52,116.9872
13520,1,0,Very Good,G,VS2,62.7,58,5544,8.62,6.34,6.42,4,162.8112
13540,1.12,0.11,Premium,E,SI1,58.8,61,5547,8.62,6.8,6.74,3.98,182.41136
13560,1.12,0.11,Ideal,G,SI1,62,55,5551,8.62,6.68,6.65,4.13,183.46286
13580,1.17,0.16,Ideal,F,SI2,62.2,55,5556,8.62,6.73,6.7,4.18,188.48038
13600,1.2,0.18,Ideal,G,SI2,58.9,60,5562,8.62,6.98,6.94,4.1,198.60892
13620,0.95,-0.05,Very Good,G,VS1,59.9,58,5572,8.63,6.37,6.41,3.83,156.385411
13640,1.31,0.27,Very Good,I,SI2,60.8,57,5582,8.63,7.06,7.12,4.31,216.651632
13660,1.24,0.22,Very Good,H,SI2,61.2,57,5592,8.63,6.87,7.02,4.25,204.96645
13680,1.02,0.02,Very Good,D,SI1,63.5,61,5598,8.63,6.35,6.27,4.01,159.656145
13700,1.2,0.18,Good,I,VS1,64.8,58,5600,8.63,6.6,6.65,4.29,188.2881
13720,0.3,-1.2,Ideal,F,VS1,62.3,56,603,6.4,4.26,4.28,2.66,48.499248
13740,0.41,-0.89,Ideal,J,VS1,62.2,55,604,6.4,4.76,4.79,2.97,67.717188
13760,1.03,0.03,Ideal,E,SI1,62,53,5608,8.63,6.47,6.5,4.02,169.0611
13780,1.27,0.24,Premium,D,SI2,58.9,59,5618,8.63,7.14,7.02,4.17,209.012076
13800,1.64,0.49,Premium,J,SI2,63,58,5624,8.63,7.54,7.49,4.74,267.689604
13820,1.53,0.43,Ideal,H,SI2,59.6,57,5631,8.64,7.46,7.38,4.42,243.342216
13840,1.23,0.21,Premium,F,SI1,62.5,58,5641,8.64,6.83,6.76,4.25,196.2259
13860,1,0,Very Good,D,SI1,63.1,56,5645,8.64,6.34,6.3,3.99,159.36858
13880,1.14,0.13,Ideal,G,SI1,62.2,56,5650,8.64,6.69,6.66,4.15,184.90491
13900,1.01,0.01,Premium,E,SI1,59.2,60,5656,8.64,6.56,6.51,3.87,165.270672
13920,1.23,0.21,Very Good,J,VVS2,61.2,57,5665,8.64,6.86,6.92,4.22,200.328464
13940,0.99,-0.01,Very Good,D,SI1,62.6,57,5671,8.64,6.34,6.37,3.98,160.735484
13960,1.02,0.02,Fair,E,SI1,65.7,58,5681,8.64,6.23,6.31,4.12,161.962556
13980,1.21,0.19,Ideal,H,SI2,62.1,55,5692,8.65,6.87,6.82,4.25,199.12695
14000,1.19,0.17,Premium,H,SI1,60.8,59,5698,8.65,6.87,6.84,4.17,195.951636
14020,1.01,0.01,Premium,D,SI1,61.6,62,5701,8.65,6.44,6.38,3.95,162.29444
14040,1.21,0.19,Ideal,J,VS2,62.5,57,5707,8.65,6.79,6.74,4.23,193.584258
14060,0.3,-1.2,Ideal,F,VS2,61.1,56,605,6.41,4.31,4.33,2.64,49.268472
14080,1.2,0.18,Premium,F,SI2,62.9,57,5712,8.65,6.8,6.72,4.25,194.208
14100,1,0,Very Good,E,SI1,59.2,59,5718,8.65,6.49,6.55,3.86,164.08667
14120,1.04,0.04,Premium,F,SI1,62.5,60,5724,8.65,6.46,6.43,4.03,167.397334
14140,1.2,0.18,Ideal,I,VS2,62.3,57,5736,8.65,6.74,6.8,4.22,193.41104
14160,1.31,0.27,Premium,I,SI2,60.5,59,5744,8.66,7.11,7.04,4.28,214.232832
14180,1.07,0.07,Very Good,H,SI1,62.3,57,5752,8.66,6.53,6.64,4.1,177.77272
14200,1,0,Very Good,F,VS2,62.7,56,5759,8.66,6.29,6.34,3.96,157.919256
14220,1.2,0.18,Ideal,I,SI1,60.3,56,5763,8.66,6.87,6.97,4.17,199.675863
14240,1.09,0.09,Ideal,F,SI1,62,56,5768,8.66,6.61,6.56,4.08,176.915328
14260,1,0,Premium,D,SI1,61.4,58,5775,8.66,6.37,6.43,3.93,160.969263
14280,1.11,0.1,Premium,H,VS2,62.6,58,5781,8.66,6.63,6.59,4.14,180.883638
14300,1.08,0.08,Ideal,H,VS1,61.9,57,5791,8.66,6.58,6.64,4.09,178.697008
14320,1.03,0.03,Very Good,E,VS2,61.3,61,5800,8.67,6.46,6.53,3.98,167.891524
14340,1,0,Very Good,G,VS2,63.1,61,5806,8.67,6.38,6.33,4.01,161.945454
14360,1.21,0.19,Ideal,H,SI2,62,54.5,5814,8.67,6.81,6.87,4.25,198.834975
14380,0.3,-1.2,Very Good,G,VS1,62.2,59,605,6.41,4.24,4.28,2.65,48.09008
14400,0.3,-1.2,Premium,F,VS2,62.2,60,605,6.41,4.22,4.27,2.64,47.571216
14420,1.2,0.18,Premium,H,SI1,59.3,60,5822,8.67,7,6.92,4.13,200.0572
14440,1.14,0.13,Ideal,H,VS2,61.6,56,5831,8.67,6.68,6.72,4.13,185.394048
14460,1.24,0.22,Very Good,I,VS2,62.7,55,5836,8.67,6.82,6.87,4.29,201.001086
14480,1.2,0.18,Premium,G,SI2,62.4,58,5846,8.67,6.77,6.73,4.21,191.816441
14500,1.23,0.21,Ideal,I,SI1,62,57,5855,8.68,6.91,6.87,4.27,202.704159
14520,1.01,0.01,Premium,G,VS2,61.9,59,5864,8.68,6.38,6.34,3.94,159.369848
14540,1.21,0.19,Very Good,H,SI1,63.1,60,5871,8.68,6.74,6.69,4.24,191.184144
14560,1,0,Premium,D,SI1,61.4,58,5880,8.68,6.43,6.37,3.93,160.969263
14580,1.27,0.24,Ideal,J,VS1,61.4,59,5885,8.68,6.95,6.97,4.27,206.845205
14600,1.24,0.22,Ideal,F,SI2,61.7,57,5889,8.68,6.95,6.88,4.27,204.17432
14620,1.01,0.01,Very Good,F,VS2,62.9,56,5902,8.68,6.38,6.41,4.02,164.401116
14640,1.16,0.15,Ideal,D,SI1,62,56,5911,8.68,6.76,6.73,4.18,190.168264
14660,1.52,0.42,Fair,J,SI2,65.8,57,5916,8.69,7.18,7.11,4.7,239.93406
14680,1.09,0.09,Ideal,F,SI1,62,56,5922,8.69,6.61,6.56,4.08,176.915328
14700,1.02,0.02,Very Good,F,SI1,62.9,56,5930,8.69,6.39,6.43,4.03,165.583431
14720,0.3,-1.2,Good,G,VS1,63.6,54,605,6.41,4.25,4.31,2.72,49.8236
14740,1.15,0.14,Good,H,VS1,64.3,54,5935,8.69,6.66,6.62,4.27,188.260884
14760,1.01,0.01,Ideal,D,SI1,60.8,56,5939,8.69,6.54,6.48,3.96,167.821632
14780,1.2,0.18,Premium,G,SI1,61.5,61,5947,8.69,6.84,6.78,4.19,194.312088
14800,1.2,0.18,Very Good,I,VS2,62.3,56,5955,8.69,6.76,6.81,4.23,194.730588
14820,1,0,Premium,G,VS2,63,59,5967,8.69,6.45,6.32,4.02,163.87128
14840,1.2,0.18,Premium,H,SI1,62.9,55,5975,8.7,6.77,6.74,4.25,193.92665
14860,1.2,0.18,Very Good,I,VS2,62.1,60,5986,8.7,6.78,6.72,4.19,190.903104
14880,0.93,-0.07,Ideal,E,SI1,61.9,56,5992,8.7,6.24,6.27,3.87,151.412976
14900,1.02,0.02,Premium,G,VS2,62.7,61,5998,8.7,6.39,6.34,3.99,161.645274
14920,1.2,0.18,Ideal,E,SI2,61.3,56,6006,8.7,6.85,6.88,4.21,198.40888
14940,0.9,-0.11,Ideal,E,VS2,62.3,57,6018,8.7,6.16,6.19,3.85,146.80204
14960,1.66,0.51,Good,F,I1,62.1,57.7,6025,8.7,7.56,7.6,4.71,270.61776
14980,1.14,0.13,Premium,F,SI1,59.6,58,6033,8.7,6.8,6.78,4.05,186.7212
15000,1.01,0.01,Fair,F,VS2,69,61,6041,8.71,6.06,5.99,4.16,151.005504
15020,1.2,0.18,Premium,H,VS2,62.4,57,6048,8.71,6.73,6.67,4.18,187.636438
15040,0.3,-1.2,Very Good,F,VS2,62.8,55,605,6.41,4.27,4.33,2.7,49.92057
15060,0.3,-1.2,Premium,F,VS2,61.6,58,605,6.41,4.29,4.31,2.65,48.998235
15080,1.32,0.28,Fair,I,SI1,64.8,58,6061,8.71,6.9,6.83,4.45,209.71515
15100,1.06,0.06,Ideal,I,VVS2,62.2,55,6069,8.71,6.51,6.55,4.06,173.12043
15120,1.07,0.07,Premium,G,VS1,61.4,56,6076,8.71,6.65,6.61,4.07,178.902955
15140,1.43,0.36,Fair,E,SI2,66,57,6086,8.71,7.02,7,4.63,227.5182
15160,1.04,0.04,Very Good,G,VS2,62.3,54,6095,8.72,6.49,6.55,4.06,172.58857
15180,1.01,0.01,Good,F,VS2,63.6,59,6097,8.72,6.36,6.32,4.03,161.986656
15200,1.21,0.19,Ideal,F,SI2,61.8,57,6105,8.72,6.87,6.82,4.23,198.189882
15220,1.12,0.11,Ideal,H,VS2,61.8,55,6110,8.72,6.64,6.7,4.12,183.29056
15240,1.29,0.25,Premium,G,SI2,61.1,59,6116,8.72,7.03,6.95,4.27,208.625795
15260,1.19,0.17,Very Good,G,SI1,62.8,57,6127,8.72,6.71,6.77,4.23,192.154941
15280,1.5,0.41,Premium,I,SI2,62.9,57,6132,8.72,7.28,7.26,4.57,241.537296
15300,1.29,0.25,Premium,I,SI1,62.2,58,6140,8.72,7.03,6.96,4.35,212.84028
15320,2.08,0.73,Premium,H,I1,61.7,57,6150,8.72,8.23,8.18,5.06,340.646284
15340,1.01,0.01,Very Good,F,VS2,62,59,6159,8.73,6.38,6.42,3.97,162.609612
15360,1.23,0.21,Good,I,SI1,60.7,61,6165,8.73,6.91,6.93,4.2,201.12246
15380,0.38,-0.97,Very Good,I,VS1,60.1,60,606,6.41,4.66,4.72,2.82,62.026464
15400,1.06,0.06,Very Good,E,SI1,59.8,56,6169,8.73,6.63,6.67,3.98,176.003958
15420,1.01,0.01,Good,D,VS2,64.2,60,6176,8.73,6.35,6.32,4.07,163.33724
15440,1.2,0.18,Premium,F,VS2,61.4,58,6182,8.73,6.8,6.75,4.16,190.944
15460,1.21,0.19,Very Good,G,SI1,62.2,60,6190,8.73,6.71,6.73,4.18,188.761694
15480,1.35,0.3,Ideal,I,SI1,62.3,57,6199,8.73,7.11,7.05,4.41,221.053455
15500,1.1,0.1,Premium,D,VS2,60,59,6209,8.73,6.67,6.6,3.98,175.20756
15520,1.06,0.06,Very Good,G,VS2,59.4,59,6217,8.74,6.68,6.63,3.95,174.93918
15540,1.31,0.27,Ideal,H,SI2,62.3,56,6225,8.74,7,6.97,4.35,212.2365
15560,1.02,0.02,Premium,F,VS1,61.4,59,6238,8.74,6.48,6.42,3.96,164.742336
15580,1.03,0.03,Ideal,D,SI1,61.9,57,6250,8.74,6.52,6.54,4.04,172.268832
15600,1.01,0.01,Very Good,F,VS2,59.2,59,6257,8.74,6.49,6.61,3.88,166.447732
15620,1.51,0.41,Premium,G,SI2,60,60,6266,8.74,7.45,7.4,4.48,246.9824
15640,1,0,Premium,E,VS2,62.8,62,6272,8.74,6.29,6.26,3.94,155.139076
15660,1.21,0.19,Ideal,I,VS1,60.3,60,6279,8.74,6.89,6.93,4.17,199.107909
15680,1.01,0.01,Good,F,VS2,61.7,58,6288,8.75,6.3,6.34,3.9,155.7738
15700,0.29,-1.24,Ideal,H,IF,60.7,57,607,6.41,4.3,4.33,2.62,48.78178
15720,0.3,-1.2,Ideal,I,VS1,61.6,56,608,6.41,4.36,4.31,2.67,50.173572
15740,1.01,0.01,Ideal,G,VS2,60.6,58,6295,8.75,6.44,6.5,3.92,164.0912
15760,1.02,0.02,Premium,G,VS2,62.5,58,6301,8.75,6.41,6.46,4.02,166.462572
15780,1.15,0.14,Ideal,G,SI1,62,55,6313,8.75,6.72,6.76,4.18,189.885696
15800,1.12,0.11,Ideal,G,VS2,62.1,57,6322,8.75,6.63,6.6,4.11,179.84538
15820,1,0,Ideal,G,VS2,60.5,56,6328,8.75,6.54,6.49,3.94,167.231724
15840,1.01,0.01,Premium,G,VS1,61.2,58,6335,8.75,6.47,6.33,3.92,160.543992
15860,1.03,0.03,Premium,E,VS2,60,59,6344,8.76,6.54,6.6,3.94,170.06616
15880,1.22,0.2,Premium,E,SI2,61.5,58,6351,8.76,6.85,6.81,4.2,195.9237
15900,1.07,0.07,Very Good,G,VS2,63,55,6355,8.76,6.5,6.55,4.11,174.98325
15920,1.16,0.15,Premium,E,SI1,61.3,60,6366,8.76,6.7,6.64,4.09,181.95592
15940,1,0,Very Good,E,VS2,59.4,59,6377,8.76,6.44,6.46,3.83,159.337192
15960,1.1,0.1,Premium,G,VS2,62.8,58,6387,8.76,6.6,6.58,4.14,179.79192
15980,1.2,0.18,Premium,E,SI2,62.6,56,6397,8.76,6.84,6.77,4.26,197.266968
16000,1.37,0.31,Ideal,I,SI2,62.2,56,6401,8.76,7.07,7.14,4.42,223.120716
16020,1.08,0.08,Ideal,H,VS2,60.3,57,6411,8.77,6.67,6.7,4.03,180.09667
16040,0.3,-1.2,Good,I,VS1,63.7,58,608,6.41,4.25,4.23,2.7,48.53925
16060,1.01,0.01,Ideal,F,VS2,61,57,6416,8.77,6.38,6.5,3.93,162.9771
16080,1.5,0.41,Good,J,SI2,63.6,58,6421,8.77,7.25,7.18,4.59,238.93245
16100,1.69,0.52,Premium,I,I1,62.4,60,6436,8.77,7.59,7.56,4.73,271.409292
16120,1.3,0.26,Premium,I,VS2,60.1,58,6442,8.77,7.1,7.14,4.28,216.97032
16140,1.2,0.18,Ideal,H,SI1,62,58,6450,8.77,6.78,6.83,4.22,195.417228
16160,1.5,0.41,Premium,H,SI2,62.1,58,6458,8.77,7.31,7.21,4.51,237.700001
16180,1.2,0.18,Good,H,VS2,62.6,56,6468,8.77,6.73,6.76,4.22,191.988056
16200,1.7,0.53,Good,I,I1,63.6,58,6474,8.78,7.52,7.48,4.77,268.310592
16220,1.31,0.27,Ideal,H,SI2,62.2,57,6484,8.78,6.96,7,4.34,211.4448
16240,1.1,0.1,Very Good,H,VVS2,59.7,57.8,6497,8.78,6.7,6.76,4.01,181.62092
16260,1.01,0.01,Ideal,G,VS1,62,57,6504,8.78,6.44,6.36,3.97,162.604848
16280,1.2,0.18,Ideal,H,SI1,62.7,55,6512,8.78,6.76,6.73,4.23,192.443004
16300,1.01,0.01,Very Good,E,VS2,62.2,58,6522,8.78,6.36,6.41,3.97,161.847372
16320,1.22,0.2,Very Good,G,SI2,59.2,61,6531,8.78,6.99,6.92,4.12,199.287696
16340,1.2,0.18,Very Good,E,SI1,61.8,56,6534,8.78,6.75,6.82,4.19,192.88665
16360,0.3,-1.2,Premium,H,VS2,61.1,61,608,6.41,4.32,4.29,2.63,48.741264
16380,0.29,-1.24,Very Good,E,VVS1,59.5,61,609,6.41,4.29,4.31,2.56,47.334144
16400,1.26,0.23,Very Good,H,SI1,60.6,60,6546,8.79,6.97,7,4.23,206.3817
16420,1.03,0.03,Ideal,G,VS1,62.1,57,6558,8.79,6.44,6.47,4.01,167.083868
16440,2.22,0.8,Fair,H,I1,70.1,55,6564,8.79,7.77,7.74,5.44,327.160512
16460,1.35,0.3,Premium,I,SI1,59.2,59,6577,8.79,7.24,7.18,4.27,221.968264
16480,1.2,0.18,Premium,G,SI1,62.3,59,6586,8.79,6.84,6.75,4.23,195.2991
16500,1.28,0.25,Premium,H,SI1,62,62,6595,8.79,6.93,6.87,4.28,203.766948
16520,1,0,Premium,E,VS2,61.8,59,6600,8.79,6.38,6.41,3.95,161.53841
16540,1,0,Ideal,H,VVS2,62.9,55,6607,8.8,6.34,6.39,4,162.0504
16560,1.31,0.27,Ideal,I,VS1,62.1,56,6617,8.8,7.01,7.04,4.36,215.167744
16580,1.21,0.19,Ideal,H,SI1,60.3,60,6620,8.8,6.9,6.87,4.15,196.72245
16600,1.51,0.41,Very Good,I,SI2,63.1,60,6630,8.8,7.19,7.13,4.52,231.716444
16620,1,0,Very Good,G,VS1,62.4,57,6642,8.8,6.38,6.41,3.99,163.174242
16640,1.32,0.28,Premium,I,SI1,60.3,60,6653,8.8,7.14,7.09,4.29,217.170954
16660,1.22,0.2,Premium,H,VS1,63,59,6661,8.8,6.8,6.73,4.26,194.95464
16680,1.01,0.01,Good,E,VS2,63.4,60,6666,8.8,6.31,6.37,4.02,161.582694
16700,0.3,-1.2,Good,H,SI1,63.7,56,421,6.04,4.2,4.22,2.68,47.50032
16720,0.31,-1.17,Very Good,E,VS1,64,55,610,6.41,4.29,4.33,2.76,51.268932
16740,0.28,-1.27,Very Good,E,VVS2,61.4,55,612,6.42,4.22,4.25,2.6,46.631
16760,1.21,0.19,Very Good,H,VS2,62.9,58,6673,8.81,6.74,6.78,4.25,194.2131
16780,1.02,0.02,Ideal,G,VS1,62.2,56,6683,8.81,6.46,6.4,4,165.376
16800,1,0,Very Good,G,VS1,60.6,63,6699,8.81,6.42,6.45,3.9,161.4951
16820,1.04,0.04,Premium,G,VS2,60.1,59,6709,8.81,6.59,6.56,3.95,170.76008
16840,1.5,0.41,Fair,I,SI2,64.8,58,6717,8.81,7.05,7.15,4.6,231.8745
16860,1.22,0.2,Ideal,H,SI1,62.2,54,6727,8.81,6.83,6.86,4.26,199.597188
16880,1.01,0.01,Ideal,G,VS2,61,56,6734,8.81,6.47,6.51,3.96,166.794012
16900,1.5,0.41,Ideal,J,SI1,59.4,62,6745,8.82,7.38,7.35,4.38,237.58434
16920,1.35,0.3,Ideal,J,VS2,61.8,54,6754,8.82,7.1,7.14,4.4,223.0536
16940,1.47,0.39,Very Good,J,VS2,62.5,59,6763,8.82,7.18,7.23,4.5,233.6013
16960,1.12,0.11,Premium,G,VS2,60.7,53,6774,8.82,6.81,6.7,4.1,187.0707
16980,1.37,0.31,Very Good,G,SI2,63.4,61,6781,8.82,6.95,7.03,4.43,216.443155
17000,1.01,0.01,Premium,E,VS2,62.9,58,6787,8.82,6.39,6.36,4.01,162.968004
17020,1.01,0.01,Ideal,G,VS1,62.4,56,6794,8.82,6.44,6.39,4,164.6064
17040,1.3,0.26,Premium,I,VS1,62.2,59,6806,8.83,6.91,6.97,4.32,208.062864
17060,0.32,-1.14,Ideal,G,SI1,61.3,56,612,6.42,4.42,4.39,2.7,52.39026
17080,1.03,0.03,Ideal,F,VS2,61.4,58,6809,8.83,6.49,6.51,3.99,168.577101
17100,1.23,0.21,Ideal,I,VS2,62.4,58,6817,8.83,6.82,6.86,4.27,199.772804
17120,1.32,0.28,Good,E,SI1,63.7,56,6830,8.83,6.96,6.88,4.41,211.171968
17140,1.24,0.22,Premium,D,SI2,61.4,59,6840,8.83,6.87,6.91,4.23,200.805291
17160,1.51,0.41,Premium,J,SI1,59.4,59,6851,8.83,7.45,7.54,4.45,249.96985
17180,1,0,Ideal,E,VS2,61.7,54,6859,8.83,6.41,6.46,3.97,164.392142
17200,1.21,0.19,Very Good,H,VS1,63.3,58,6871,8.84,6.77,6.72,4.27,194.261088
17220,1.07,0.07,Premium,F,VS1,60.6,61,6885,8.84,6.62,6.56,3.99,173.274528
17240,1.16,0.15,Ideal,E,SI1,61.9,57,6896,8.84,6.72,6.76,4.17,189.431424
17260,1.02,0.02,Premium,D,VS2,59.8,61,6909,8.84,6.61,6.54,3.93,169.891542
17280,1.31,0.27,Premium,I,VS2,62.4,61,6921,8.84,6.98,6.9,4.33,208.54146
17300,1.22,0.2,Premium,F,SI1,62.5,59,6932,8.84,6.78,6.83,4.25,196.80645
17320,1.25,0.22,Ideal,H,VS2,60,56,6944,8.85,7.04,6.99,4.21,207.172416
17340,1.23,0.21,Premium,H,VS2,62.4,61,6957,8.85,6.85,6.8,4.26,198.4308
17360,1.55,0.44,Ideal,J,SI2,62.3,54,6966,8.85,7.38,7.42,4.61,252.441756
17380,0.34,-1.08,Premium,E,SI2,59.9,59,612,6.42,4.57,4.55,2.73,56.766255
17400,0.32,-1.14,Ideal,G,SI1,61.6,57,612,6.42,4.42,4.38,2.71,52.464516
17420,1.13,0.12,Ideal,I,VS1,61.8,57,6980,8.85,6.66,6.7,4.13,184.28886
17440,1.58,0.46,Premium,F,SI2,60.7,60,6990,8.85,7.54,7.51,4.57,258.778078
17460,1.01,0.01,Good,F,VVS2,65.9,54,7001,8.85,6.18,6.27,4.1,158.86926
17480,1.51,0.41,Premium,H,SI2,62.3,62,7018,8.86,7.32,7.21,4.51,238.025172
17500,1.51,0.41,Premium,J,SI1,62.3,58,7034,8.86,7.3,7.33,4.56,244.00104
17520,1.21,0.19,Ideal,H,VS1,60.5,57,7047,8.86,6.91,6.88,4.17,198.245136
17540,1.5,0.41,Premium,I,SI2,62.2,61,7056,8.86,7.24,7.19,4.49,233.729644
17560,1.07,0.07,Ideal,G,VS1,61.8,55,7069,8.86,6.55,6.59,4.06,175.24787
17580,1.32,0.28,Ideal,I,VS2,60.8,57,7079,8.86,7.02,7.07,4.28,212.422392
17600,1.3,0.26,Very Good,I,VS2,61.8,56,7087,8.87,6.98,7.04,4.33,212.772736
17620,1.16,0.15,Fair,F,VS1,57.8,67,7094,8.87,6.97,6.84,3.99,190.222452
17640,1.22,0.2,Premium,H,VS1,62.7,56,7105,8.87,6.82,6.74,4.25,195.3589
17660,1.1,0.1,Premium,F,VS2,61.1,57,7115,8.87,6.71,6.65,4.08,182.05572
17680,1.01,0.01,Very Good,D,VS2,63.1,60,7127,8.87,6.39,6.35,4.02,163.11753
17700,1.01,0.01,Very Good,G,VVS2,62.5,54,7137,8.87,6.38,6.41,4,163.5832
17720,0.5,-0.69,Fair,F,I1,68.4,54,613,6.42,4.94,4.82,3.35,79.76618
17740,1.5,0.41,Very Good,I,SI1,60.2,63,7140,8.87,7.38,7.33,4.43,239.642622
17760,1.19,0.17,Very Good,E,VS2,59.2,60,7152,8.88,6.93,6.95,4.11,197.951985
17780,1.51,0.41,Premium,I,SI2,62.6,59,7162,8.88,7.28,7.31,4.57,243.200776
17800,1.16,0.15,Ideal,H,VS1,62.4,56,7175,8.88,6.71,6.73,4.19,189.213277
17820,1.35,0.3,Fair,I,VS2,61.6,62,7182,8.88,7.15,7.1,4.39,222.85835
17840,1.21,0.19,Very Good,H,VS1,60.4,59,7196,8.88,6.88,6.97,4.18,200.446048
17860,2,0.69,Ideal,H,I1,62.5,57,7204,8.88,8.05,7.98,5.01,321.83739
17880,1.5,0.41,Good,G,SI2,63.7,58,7216,8.88,7.15,7.22,4.58,236.43334
17900,1.25,0.22,Very Good,H,VS2,62.9,60,7227,8.89,6.77,6.83,4.28,197.903348
17920,1.21,0.19,Ideal,H,VS2,62.4,59,7236,8.89,6.81,6.79,4.24,196.057176
17940,1.25,0.22,Premium,H,VS2,60.4,59,7246,8.89,6.92,6.96,4.19,201.803808
17960,1.2,0.18,Premium,G,VS2,59.6,58,7258,8.89,6.94,6.89,4.12,197.004392
17980,1.07,0.07,Ideal,H,VVS1,61.7,56,7273,8.89,6.56,6.68,4.06,177.912448
18000,1.21,0.19,Very Good,H,VS1,62.4,60,7279,8.89,6.73,6.79,4.22,192.840074
18020,1.01,0.01,Ideal,G,VS1,61.2,57,7290,8.89,6.42,6.47,3.95,164.07273
18040,0.35,-1.05,Ideal,E,SI1,60.9,55,614,6.42,4.53,4.57,2.77,57.344817
18060,0.36,-1.02,Premium,F,SI1,61.1,60,616,6.42,4.62,4.57,2.81,59.328654
18080,1.34,0.29,Premium,D,SI2,61.5,58,7305,8.9,7.04,7.07,4.34,216.013952
18100,1.37,0.31,Premium,J,VVS2,59.4,61,7319,8.9,7.29,7.25,4.32,228.3228
18120,1.21,0.19,Premium,E,SI1,62.6,58,7334,8.9,6.82,6.79,4.26,197.271228
18140,1.37,0.31,Ideal,I,VS2,61.5,55,7346,8.9,7.18,7.2,4.42,228.49632
18160,1.31,0.27,Premium,G,SI1,62.2,56,7358,8.9,7.02,6.97,4.35,212.84289
18180,1.52,0.42,Good,J,VS2,63.5,58,7370,8.91,7.24,7.28,4.61,242.980192
18200,1.46,0.38,Very Good,I,SI1,62.8,57,7387,8.91,7.13,7.21,4.5,231.33285
18220,1,0,Premium,D,VS2,59.8,58,7392,8.91,6.55,6.47,3.89,164.852365
18240,1.64,0.49,Very Good,J,SI2,62.5,58,7409,8.91,7.48,7.56,4.7,265.77936
18260,1.55,0.44,Ideal,J,VS2,61.7,57,7416,8.91,7.37,7.42,4.56,249.365424
18280,1.21,0.19,Ideal,E,SI1,61.9,57,7424,8.91,6.88,6.79,4.23,197.605296
18300,1.47,0.39,Very Good,H,SI2,62.6,58,7438,8.91,7.17,7.24,4.51,234.117708
18320,1,0,Good,G,VVS2,63.1,58,7453,8.92,6.33,6.37,4.01,161.691621
18340,1.29,0.25,Ideal,G,SI1,60.9,59,7463,8.92,6.99,7.04,4.27,210.124992
18360,1.11,0.1,Ideal,G,VS2,62,56,7472,8.92,6.62,6.65,4.12,181.37476
18380,0.4,-0.92,Good,E,SI2,64.2,57,617,6.42,4.68,4.7,3.01,66.20796
