region(String),city(String),year(Integer),order_price(Integer),product_item(String),product_category(String),customer_age(Integer),purchase_method(String),payment_method(String)
EMEA,Lagos,2018,109,Mollit,Services,26,Phone,Card
EMEA,Lagos,2018,126,Officia,Jewelry,37,Phone,Check
EMEA,Lagos,2018,85,Reprehenderit,Sport,42,Online,Check
EMEA,Lagos,2018,51,Aliqua,Fashion,62,Online,Check
EMEA,Lagos,2018,145,Fugiat,Food,68,Phone,Card
EMEA,Lagos,2018,31,Mollit,Food,38,Phone,Check
EMEA,Lagos,2018,115,Exercitation,Fashion,65,Phone,Card
EMEA,Lagos,2019,24,Deserunt,Services,15,In-store,Check
EMEA,Lagos,2019,128,Do,Jewelry,33,Online,Check
EMEA,Lagos,2019,7,Incididunt,Tools,49,Phone,Card
EMEA,Lagos,2019,127,Ex,Electronics,59,In-store,Check
EMEA,Lagos,2019,48,Esse,Jewelry,68,In-store,Check
EMEA,Lagos,2019,6,Eu,Healthcare,27,In-store,Cash
EMEA,Lagos,2019,72,Fugiat,Sport,68,Phone,Check
AP,Sydney,2016,104,Est,Tools,70,In-store,Cash
AP,Sydney,2016,144,Labore,Tools,66,Phone,Check
AP,Sydney,2016,132,Ut,Services,20,In-store,Card
AP,Sydney,2016,99,Sunt,Tools,24,Online,Card
AP,Sydney,2016,8,Eiusmod,Jewelry,31,In-store,Check
AP,Sydney,2016,68,Nostrud,Food,59,In-store,Check
AP,Sydney,2016,19,Enim,Sport,23,Online,Card
AP,Sydney,2016,32,Aute,Transport,69,In-store,Cash
AP,Sydney,2016,144,Tempor,Fashion,19,In-store,Card
AP,Sydney,2016,46,Veniam,Toys,62,Phone,Check
AP,Sydney,2016,80,Do,Fashion,38,Online,Check
AP,Sydney,2017,23,Incididunt,Transport,27,Online,Check
AP,Sydney,2017,94,Laboris,Electronics,58,Online,Check
AP,Sydney,2017,41,Elit,Toys,33,Online,Check
AP,Sydney,2017,81,Quis,Food,15,Phone,Check
AP,Sydney,2017,115,Ex,Fashion,38,Online,Card
AP,Sydney,2017,46,Mollit,Fashion,50,Phone,Check
AP,Sydney,2017,7,Irure,Jewelry,45,Phone,Card
AP,Sydney,2017,90,Sit,Food,38,Phone,Check
AP,Sydney,2017,113,Magna,Toys,38,In-store,Card
AP,Sydney,2017,29,Cillum,Food,30,Online,Check
AP,Sydney,2017,71,Occaecat,Food,42,In-store,Check
AP,Sydney,2018,36,Aliqua,Electronics,38,Phone,Check
AP,Sydney,2018,147,Commodo,Services,56,In-store,Check
AP,Sydney,2018,35,Eiusmod,Services,32,Online,Card
AP,Sydney,2018,132,Aliquip,Tools,17,Phone,Card
AP,Sydney,2018,141,Adipisicing,Services,58,Phone,Card
AP,Sydney,2018,97,Officia,Sport,39,In-store,Cash
AP,Sydney,2018,66,Laboris,Transport,58,Phone,Check
AP,Sydney,2019,126,Pariatur,Tools,20,Online,Check
AP,Sydney,2019,128,Aute,Food,56,Online,Card
AP,Sydney,2019,83,Do,Jewelry,45,Phone,Check
AP,Sydney,2019,145,Consectetur,Tools,40,Phone,Card
AP,Sydney,2019,4,Tempor,Healthcare,70,Phone,Card
AP,Sydney,2019,146,Deserunt,Jewelry,45,Online,Check
AP,Sydney,2019,110,Ea,Transport,53,In-store,Card
AP,Osaka,2016,57,Aliqua,Tools,37,Online,Check
AP,Osaka,2016,58,Pariatur,Transport,26,Online,Check
AP,Osaka,2016,115,Aute,Food,34,Phone,Check
AP,Osaka,2016,112,Eiusmod,Electronics,33,Online,Card
AP,Osaka,2016,6,Ullamco,Food,39,In-store,Card
AP,Osaka,2016,125,Aliquip,Transport,57,Phone,Card
AP,Osaka,2016,140,Lorem,Healthcare,55,Online,Card
AP,Osaka,2016,6,Culpa,Toys,34,Phone,Card
AP,Osaka,2016,12,Sint,Toys,51,In-store,Check
AP,Osaka,2016,146,Deserunt,Transport,26,Phone,Card
AP,Osaka,2016,22,Reprehenderit,Fashion,17,In-store,Cash
AP,Osaka,2016,90,Nisi,Services,64,Online,Check
AP,Osaka,2016,51,Commodo,Food,47,Phone,Check
AP,Osaka,2017,7,Eiusmod,Jewelry,34,Online,Check
AP,Osaka,2017,30,Et,Fashion,40,In-store,Cash
AP,Osaka,2017,33,Aliqua,Sport,33,In-store,Card
AP,Osaka,2017,65,Sint,Sport,43,Phone,Check
AP,Osaka,2017,34,Officia,Electronics,47,Phone,Check
AP,Osaka,2017,143,Et,Healthcare,41,Phone,Card
AP,Osaka,2017,50,Minim,Food,56,Phone,Check
AP,Osaka,2017,143,Aliqua,Jewelry,17,In-store,Card
AP,Osaka,2017,51,Aliquip,Transport,25,Phone,Check
AP,Osaka,2017,115,Occaecat,Fashion,25,Phone,Check
AP,Osaka,2017,44,Magna,Toys,39,In-store,Card
AP,Osaka,2017,26,Eiusmod,Tools,39,Online,Card
AP,Osaka,2018,29,Veniam,Healthcare,51,Online,Card
AP,Osaka,2018,130,Quis,Tools,50,In-store,Check
AP,Osaka,2018,90,Ea,Toys,62,In-store,Card
AP,Osaka,2018,137,Nisi,Tools,31,Online,Check
AP,Osaka,2018,5,Nostrud,Fashion,18,Online,Card
AP,Osaka,2018,109,Fugiat,Services,31,Online,Card
AP,Osaka,2018,99,Magna,Electronics,56,In-store,Card
AP,Osaka,2019,71,Irure,Jewelry,56,Phone,Card
AP,Osaka,2019,38,Elit,Tools,65,Online,Check
AP,Osaka,2019,108,Ullamco,Transport,69,Phone,Card
AP,Osaka,2019,59,Consequat,Transport,61,Online,Check
AP,Osaka,2019,59,Cupidatat,Services,69,Phone,Check
AP,Osaka,2019,11,Consequat,Fashion,37,In-store,Cash
AP,Osaka,2019,138,Velit,Transport,43,Phone,Card
AP,Osaka,2019,43,Sit,Transport,15,Phone,Check
AP,Osaka,2019,12,Ex,Healthcare,62,In-store,Card
AP,Osaka,2019,107,Anim,Transport,30,Online,Card
AP,Osaka,2019,54,Velit,Toys,42,Online,Check
AP,Osaka,2019,44,Ut,Jewelry,23,In-store,Card
AP,Osaka,2019,73,Deserunt,Tools,48,Phone,Card
AP,Tokyo,2016,69,Commodo,Electronics,16,In-store,Card
AP,Tokyo,2016,131,In,Fashion,17,Phone,Card
AP,Tokyo,2016,132,Duis,Food,46,Online,Check
AP,Tokyo,2016,113,Id,Jewelry,38,In-store,Check
AP,Tokyo,2016,20,Velit,Food,42,In-store,Check
AP,Tokyo,2016,34,Aliqua,Electronics,64,In-store,Check
AP,Tokyo,2016,39,Lorem,Healthcare,31,In-store,Check
AP,Tokyo,2016,56,Id,Tools,43,Online,Card
AP,Tokyo,2016,9,Tempor,Tools,53,Online,Check
AP,Tokyo,2016,124,Eiusmod,Food,68,Phone,Check
AP,Tokyo,2016,117,Proident,Tools,38,Online,Check
AP,Tokyo,2016,127,Ut,Fashion,53,Online,Check
AP,Tokyo,2016,137,Qui,Healthcare,54,Phone,Check
AP,Tokyo,2017,9,Voluptate,Sport,28,Online,Card
AP,Tokyo,2017,131,Officia,Food,48,Online,Card
AP,Tokyo,2017,26,Ad,Toys,54,In-store,Card
AP,Tokyo,2017,14,Minim,Fashion,66,Phone,Check
AP,Tokyo,2017,74,Ad,Sport,44,Phone,Check
AP,Tokyo,2017,28,Laborum,Sport,51,Phone,Card
AP,Tokyo,2017,93,Mollit,Transport,52,Phone,Check
AP,Tokyo,2018,12,Et,Fashion,59,In-store,Card
AP,Tokyo,2018,45,Culpa,Services,36,Phone,Check
AP,Tokyo,2018,8,Consectetur,Services,27,Online,Card
AP,Tokyo,2018,118,Qui,Jewelry,48,Phone,Card
AP,Tokyo,2018,78,Eiusmod,Services,48,Phone,Check
AP,Tokyo,2018,127,Ut,Electronics,16,Phone,Check
AP,Tokyo,2018,126,Ad,Electronics,60,Phone,Card
AP,Tokyo,2018,43,Velit,Food,61,Phone,Check
AP,Tokyo,2018,60,Magna,Tools,16,In-store,Cash
AP,Tokyo,2018,10,Aliqua,Toys,54,In-store,Check
AP,Tokyo,2018,141,Veniam,Transport,23,Phone,Card
AP,Tokyo,2018,121,In,Services,25,Phone,Card
AP,Tokyo,2019,85,Ipsum,Toys,66,In-store,Cash
AP,Tokyo,2019,108,Ullamco,Healthcare,33,In-store,Card
AP,Tokyo,2019,126,Sint,Toys,38,In-store,Card
AP,Tokyo,2019,135,Ipsum,Electronics,50,In-store,Check
AP,Tokyo,2019,60,Laboris,Electronics,52,In-store,Cash
AP,Tokyo,2019,9,Exercitation,Food,64,Phone,Check
AP,Tokyo,2019,137,Enim,Electronics,36,In-store,Check
AP,Seoul,2016,69,Cillum,Tools,33,Online,Check
AP,Seoul,2016,144,Ullamco,Electronics,52,In-store,Cash
AP,Seoul,2016,30,Proident,Sport,58,Online,Check
AP,Seoul,2016,87,Qui,Jewelry,49,Phone,Card
AP,Seoul,2016,91,Lorem,Sport,62,In-store,Card
AP,Seoul,2016,121,Non,Toys,29,In-store,Card
AP,Seoul,2016,139,Nulla,Food,45,Phone,Card
AP,Seoul,2016,36,Est,Fashion,29,In-store,Check
AP,Seoul,2016,115,Esse,Tools,45,Phone,Card
AP,Seoul,2016,149,Ipsum,Toys,21,Online,Card
AP,Seoul,2016,7,Nisi,Toys,27,In-store,Check
AP,Seoul,2016,30,Occaecat,Tools,36,Phone,Card
AP,Seoul,2016,59,Nulla,Services,31,Online,Check
AP,Seoul,2017,95,Aliquip,Jewelry,50,In-store,Card
AP,Seoul,2017,108,Lorem,Food,66,Online,Check
AP,Seoul,2017,24,Magna,Services,26,Phone,Check
AP,Seoul,2017,110,Aliquip,Services,43,Online,Check
AP,Seoul,2017,70,Minim,Tools,50,Phone,Card
AP,Seoul,2017,19,Anim,Sport,55,Phone,Check
AP,Seoul,2017,40,Aute,Sport,53,Phone,Card
AP,Seoul,2017,57,Adipisicing,Tools,54,Phone,Check
AP,Seoul,2018,135,Voluptate,Jewelry,39,Phone,Card
AP,Seoul,2018,77,Sint,Electronics,52,Online,Check
AP,Seoul,2018,72,Do,Jewelry,49,Online,Card
AP,Seoul,2018,96,Laborum,Jewelry,51,Online,Card
AP,Seoul,2018,70,Laborum,Jewelry,25,Phone,Check
AP,Seoul,2018,61,Deserunt,Services,61,Online,Card
AP,Seoul,2018,101,Consectetur,Food,53,Online,Card
AP,Seoul,2018,112,Ipsum,Electronics,68,Phone,Card
AP,Seoul,2019,50,Ut,Services,48,Phone,Check
AP,Seoul,2019,118,Duis,Services,22,Phone,Check
AP,Seoul,2019,142,Voluptate,Electronics,29,Phone,Card
AP,Seoul,2019,112,Incididunt,Transport,44,Phone,Check
AP,Seoul,2019,33,Ad,Jewelry,48,Online,Check
AP,Seoul,2019,98,In,Electronics,47,In-store,Cash
AP,Seoul,2019,99,Aliquip,Tools,52,In-store,Check
AP,Seoul,2019,19,Ex,Food,40,Online,Card
AP,Seoul,2019,142,Officia,Services,19,Phone,Check
AP,Seoul,2019,9,Occaecat,Transport,55,Phone,Card
AP,Seoul,2019,20,Nostrud,Healthcare,61,In-store,Card
AP,Seoul,2019,50,Dolore,Food,34,In-store,Check
AP,Seoul,2019,72,Reprehenderit,Services,50,Phone,Card
